id,partie,rubrique,n°,intitulé (source Vandal),ligne_début,ligne_fin,origine,contrôle
0,Code de commerce,,,"Code de commerce (Livres I à IV, annoté)",1,4232,source,"OK"
I-A,I,A,,Décret du 6 octobre 1986 réglementant le statut et les activités des agents commerciaux,4237,4276,source,"OK"
I-B-1,I,B,1,1°) Loi du 25 septembre 1890 règlementant l'exercice de la profession d'agent de change et de courtier.,4279,4328,source,"OK"
I-B-2,I,B,2,2°) Décret du Gouvernement Militaire en date du 31 janvier 1989 déterminant les conditions d'exercice de la profession d'agent de change.,4329,4380,source,"OK"
I-C-1,I,C,1,1°) Arrêté présidentiel du 16 janvier 1979 réglementant l'exercice de la profession d'agent maritime.,4383,4404,source,"OK"
I-C-2,I,C,2,2°) Décret du 5 mars 1987 (Code douanier) sur l'agent maritime.,4405,4418,source,"EXCLU (Code douanier récent déjà en ligne)"
I-D-1,I,D,1,1°) Loi du 11 juin 1935 règlementant l'arbitrage commercial,4421,4434,source,"OK"
I-D-2,I,D,2,2°) Convention pour la reconnaissance et l'exécution des sentences arbitrales étrangères,4435,4534,source,"OK"
I-E,I,E,,Décret du 13 février 1964 sur le fonctionnement des cartels.,4537,4596,source,"OK"
I-F-1,I,F,1,1°) Décret du 18 juin 1964 relatif à la Chambre de commerce,4599,4690,source,"OK"
I-F-2,I,F,2,2°) Règlements du 31 juillet 1964 relatifs à la Chambre de Commerce.,4691,4970,source,"OK"
I-G,I,G,,Décret du 26 septembre 1960 réglementant l'exercice de la profession de commerçant.,4971,5096,source,"OK"
I-H-1,I,H,1,1°) Décret-loi du 16 octobre 1935 réglementant l'exercice du commerce de détail.,5099,5230,source,"OK"
I-H-2,I,H,2,2°) Décret-loi du 4 janvier 1939 sur le commerce de détail.,5231,5236,source,"OK"
I-I,I,I,,Décret du 5 mars 1987 (Code douanier) sur les commis-voyageurs,5239,5254,source,"EXCLU (Code douanier récent déjà en ligne)"
I-J,I,J,,Loi du 13 juin 1996 sur le statut du commissionnaire en douane.,5257,5324,source,"OK"
I-K,I,K,,Décret du 16 avril 1981 sur le Conseil National de la Comptabilité.,5327,5340,source,"OK"
I-L-1,I,L,1,"1°) Décret du 22 mai 1843 sur la contrainte par corps, abrogeant L. 26 mai 1834 et modifié par L. 21 août 1907 et 22 juin 1915.",5343,5362,source,"OK"
I-L-2,I,L,2,2°) Loi du 21 août 1907 sur la contrainte par corps.,5363,5376,source,"OK"
I-L-3,I,L,3,3°) Loi du 22 juin 1915 sur la contrainte par corps.,5377,5382,source,"OK"
I-L-4,I,L,4,4°) Loi du 13 septembre 1947 sur les bons à caractère commercial souscrits par un fonctionnaire non commerçant.,5383,5392,source,"OK"
I-M,I,M,,Décret du 5 mars 1987 (Code douanier) sur la contrebande.,5395,5446,source,"EXCLU (Code douanier récent déjà en ligne)"
I-N,I,N,,Décret du 5 mars 1987 (Code douanier) sur la profession du dégroupeur.,5449,5468,source,"EXCLU (Code douanier récent déjà en ligne)"
I-O,I,O,,Décret du 12 mars 1975 réglementant l'exploitation des établissements touristiques.,5471,5862,source,"OK"
I-P-1,I,P,1,1°) Loi du 20 décembre 1946 sur le marché noir.,5865,5902,source,DIVERGENCE intitulé inventaire/source,"OK"
I-P-2,I,P,2,2°) Décret du Gouvernement Militaire en date du 28 février 1989 sur le contrôle des prix et la spéculation illicite.,5903,5998,source,"OK"
I-Q-1,I,Q,1,1°) Loi du 10 août 1877 sur les poids et mesures.,6001,6020,source,"OK"
I-Q-2,I,Q,2,2°) Loi du 4 août 1920 sur les poids et mesures,6021,6080,source,"OK"
I-Q-3,I,Q,3,3°) Arrêté présidentiel du 22 mai 1922 sur les poids et mesures,6081,6126,source,"OK"
I-Q-4,I,Q,4,4°) Décret du 7 octobre 1975 sur les poids et mesures,6127,6184,source,"OK"
I-R-1,I,R,1,1°) Loi du 10 août 1955 sur le commerce des produits pharmaceutiques,6187,6356,source,"OK"
I-R-2,I,R,2,2°) Décret du 24 janvier 1962 sur le commerce des produits pharmaceutiques,6357,6362,source,"OK"
I-R-3,I,R,3,3°) Arrêté du 31 octobre 1986 sur le commerce des produits pharmaceutiques,6363,6376,source,"OK"
